Corona,33.8616,-117.5649,157844
Merced,37.3057,-120.4779,157617
Warner Robins,32.5961,-83.6527,157416
Port Arthur,29.8554,-93.9264,156988
Macon,32.8065,-83.6974,156711
Kansas City,39.1235,-94.7443,155745
Lakewood,39.6977,-105.1172,155608
Sunnyvale,37.3836,-122.0255,155550
Fredericksburg,38.2992,-77.4872,155414
Leesburg,28.7672,-81.8962,154301
Champaign,40.1142,-88.2737,153278
Hollywood,26.0293,-80.1679,152597
Pasadena,29.6575,-95.1498,151964
Pomona,34.0585,-117.7626,151592
Escondido,33.1348,-117.0723,151443
Joliet,41.5188,-88.1499,150323
Lake Charles,30.201,-93.2111,150036
Mesquite,32.7602,-96.5865,149848
Mauldin,34.7821,-82.3032,149687
Panama City,30.1995,-85.6003,149366
Bellevue,47.5951,-122.1535,149365
Naperville,41.748,-88.1659,149013
Harlingen,26.1916,-97.6977,148545
Tuscaloosa,33.2348,-87.5268,148523
Elkhart,41.6916,-85.9627,147679
Torrance,33.8346,-118.3416,147156
Binghamton,42.1014,-75.9093,146870
Houma,29.58,-90.7059,146665
Topeka,39.0346,-95.6955,146473
Roseville,38.7703,-121.3196,145687
Fairfield,38.2583,-122.0335,145163
Tyler,32.3184,-95.3062,143895
Fullerton,33.8841,-117.9279,142964
Pueblo,38.2701,-104.6114,142727
Athens,33.9508,-83.3689,142277
Santa Maria,34.9333,-120.4431,142230
Surprise,33.6815,-112.4515,141875
Charleston,38.3484,-81.6322,141640
Las Cruces,32.3265,-106.7893,141399
Metairie,29.9977,-90.178,140590
Thornton,39.9197,-104.9438,140538
Olathe,38.8833,-94.82,140339
Carolina,18.4054,-65.9792,139735
Gainesville,34.2902,-83.8294,139507
West Valley City,40.6886,-112.0123,139361
Orange,33.8038,-117.8218,139195
Warren,42.4934,-83.027,138996
Pasadena,34.1597,-118.139,138771
Beaumont,30.0849,-94.1451,137549
Burlington,36.076,-79.4685,137096
Hampton,37.0551,-76.363,136748
Columbia,38.9472,-92.3268,136736
Yuma,32.5995,-114.5491,135933
Elizabeth,40.6658,-74.1913,135772
Racine,42.7274,-87.8135,135352
Greeley,40.4152,-104.7706,135270
Kent,47.3887,-122.2128,134890
